bucket,hand_id,decision_idx,verb_abs_pos,rel_pos,abs_pos,projection,token
clean_check_or_call,a4f238cd,1,318,-300,18,0.1625, your
clean_check_or_call,a4f238cd,1,318,-200,118,-0.5621,JSON
clean_check_or_call,a4f238cd,1,318,-100,218,-0.5092,action
clean_check_or_call,a4f238cd,1,318,-50,268,0.5038,","
clean_check_or_call,a4f238cd,1,318,-20,298,0.2434, the
clean_check_or_call,a4f238cd,1,318,-10,308,0.6774, what
clean_check_or_call,a4f238cd,1,318,-5,313,-0.5629,JSON
clean_check_or_call,a4f238cd,1,318,-2,316,-0.2381,action
clean_check_or_call,a4f238cd,1,318,-1,317,0.5464,""":"
clean_check_or_call,a4f238cd,1,318,0,318,1.2204," """
clean_check_or_call,a4f238cd,1,318,1,319,0.1910,CH
clean_check_or_call,a4f238cd,1,318,2,320,0.9632,EC
clean_check_or_call,a4f238cd,1,318,5,323,0.5844,_CALL
clean_check_or_call,49af524b,1,310,-300,10,0.3581, the
clean_check_or_call,49af524b,1,310,-200,110,0.3791, draw
clean_check_or_call,49af524b,1,310,-100,210,-0.2122, as
clean_check_or_call,49af524b,1,310,-50,260,0.0611, hand
clean_check_or_call,49af524b,1,310,-20,290,0.3515, the
clean_check_or_call,49af524b,1,310,-10,300,0.6416, what
clean_check_or_call,49af524b,1,310,-5,305,-0.5540,JSON
clean_check_or_call,49af524b,1,310,-2,308,-0.2801,action
clean_check_or_call,49af524b,1,310,-1,309,0.6090,""":"
clean_check_or_call,49af524b,1,310,0,310,1.1992," """
clean_check_or_call,49af524b,1,310,1,311,0.2195,CH
clean_check_or_call,49af524b,1,310,2,312,0.8981,EC
clean_check_or_call,49af524b,1,310,5,315,0.5829,_CALL
clean_check_or_call,49af524b,2,309,-300,9,0.1846,yze
clean_check_or_call,49af524b,2,309,-200,109,0.2262, little
clean_check_or_call,49af524b,2,309,-100,209,-0.0996, action
clean_check_or_call,49af524b,2,309,-50,259,0.0254,es
clean_check_or_call,49af524b,2,309,-20,289,0.2040, if
clean_check_or_call,49af524b,2,309,-10,299,1.2243, to
clean_check_or_call,49af524b,2,309,-5,304,-0.5664,JSON
clean_check_or_call,49af524b,2,309,-2,307,-0.3755,action
clean_check_or_call,49af524b,2,309,-1,308,0.5925,""":"
clean_check_or_call,49af524b,2,309,0,309,1.1526," """
clean_check_or_call,49af524b,2,309,1,310,0.1937,CH
clean_check_or_call,49af524b,2,309,2,311,1.0725,EC
clean_check_or_call,49af524b,4,347,-300,47,-0.1405, on
clean_check_or_call,49af524b,4,347,-200,147,0.1846,d
clean_check_or_call,49af524b,4,347,-100,247,-0.1543,RE
clean_check_or_call,49af524b,4,347,-50,297,0.3647, potentially
clean_check_or_call,49af524b,4,347,-20,327,0.2699,'s
clean_check_or_call,49af524b,4,347,-10,337,0.5667, opponent
clean_check_or_call,49af524b,4,347,-5,342,-0.5089,JSON
clean_check_or_call,49af524b,4,347,-2,345,-0.1356,action
clean_check_or_call,49af524b,4,347,-1,346,0.7121,""":"
clean_check_or_call,49af524b,4,347,0,347,1.2487," """
clean_check_or_call,49af524b,4,347,1,348,0.2957,CH
clean_check_or_call,49af524b,4,347,2,349,1.2798,EC
clean_check_or_call,d8ee7de6,2,329,-300,29,0.0586, by
clean_check_or_call,d8ee7de6,2,329,-200,129,0.1684, poker
clean_check_or_call,d8ee7de6,2,329,-100,229,-0.3139,ICE
clean_check_or_call,d8ee7de6,2,329,-50,279,0.2499, hand
clean_check_or_call,d8ee7de6,2,329,-20,309,-0.0065, better
clean_check_or_call,d8ee7de6,2,329,-10,319,0.5752, what
clean_check_or_call,d8ee7de6,2,329,-5,324,-0.5750,JSON
clean_check_or_call,d8ee7de6,2,329,-2,327,-0.4032,action
clean_check_or_call,d8ee7de6,2,329,-1,328,0.6106,""":"
clean_check_or_call,d8ee7de6,2,329,0,329,1.0387," """
clean_check_or_call,d8ee7de6,2,329,1,330,0.1181,CH
clean_check_or_call,d8ee7de6,2,329,2,331,1.1941,EC
clean_check_or_call,54e89359,1,308,-300,8,0.0925, Anal
clean_check_or_call,54e89359,1,308,-200,108,-0.0851, with
clean_check_or_call,54e89359,1,308,-100,208,0.0996, reasoning
clean_check_or_call,54e89359,1,308,-50,258,0.1750,","
clean_check_or_call,54e89359,1,308,-20,288,0.4474, it
clean_check_or_call,54e89359,1,308,-10,298,0.4519, before
clean_check_or_call,54e89359,1,308,-5,303,-0.5722,JSON
clean_check_or_call,54e89359,1,308,-2,306,-0.3392,action
clean_check_or_call,54e89359,1,308,-1,307,0.5531,""":"
clean_check_or_call,54e89359,1,308,0,308,1.1097," """
clean_check_or_call,54e89359,1,308,1,309,0.2316,CH
clean_check_or_call,54e89359,1,308,2,310,0.8011,EC
clean_check_or_call,54e89359,1,308,5,313,0.5744,_CALL
clean_check_or_call,c84bdcb3,2,318,-300,18,0.1625, your
clean_check_or_call,c84bdcb3,2,318,-200,118,-0.5621,JSON
clean_check_or_call,c84bdcb3,2,318,-100,218,-0.3154, your
clean_check_or_call,c84bdcb3,2,318,-50,268,0.1120, not
clean_check_or_call,c84bdcb3,2,318,-20,298,0.2372,","
clean_check_or_call,c84bdcb3,2,318,-10,308,0.8138, do
clean_check_or_call,c84bdcb3,2,318,-5,313,-0.5451,JSON
clean_check_or_call,c84bdcb3,2,318,-2,316,-0.2065,action
clean_check_or_call,c84bdcb3,2,318,-1,317,0.8740,""":"
clean_check_or_call,c84bdcb3,2,318,0,318,1.6031," """
clean_check_or_call,c84bdcb3,2,318,1,319,0.3388,CH
clean_check_or_call,c84bdcb3,2,318,2,320,1.1002,EC
clean_check_or_call,b3c594b5,2,313,-300,13,0.2615,-by
clean_check_or_call,b3c594b5,2,313,-200,113,-0.8089, so
clean_check_or_call,b3c594b5,2,313,-100,213,0.0919, reasoning
clean_check_or_call,b3c594b5,2,313,-50,263,0.4942, board
clean_check_or_call,b3c594b5,2,313,-20,293,0.3110,","
clean_check_or_call,b3c594b5,2,313,-10,303,0.8185, do
clean_check_or_call,b3c594b5,2,313,-5,308,-0.5346,JSON
clean_check_or_call,b3c594b5,2,313,-2,311,-0.1519,action
clean_check_or_call,b3c594b5,2,313,-1,312,0.8607,""":"
clean_check_or_call,b3c594b5,2,313,0,313,1.6191," """
