bucket,hand_id,decision_idx,verb_abs_pos,rel_pos,abs_pos,projection,token
clean_check_or_call,fdc16c0b,1,356,-300,56,-0.0296,-
clean_check_or_call,fdc16c0b,1,356,-200,156,-0.1576,d
clean_check_or_call,fdc16c0b,1,356,-100,256,0.2048, they
clean_check_or_call,fdc16c0b,1,356,-50,306,-0.3574, would
clean_check_or_call,fdc16c0b,1,356,-20,336,0.1375, the
clean_check_or_call,fdc16c0b,1,356,-10,346,0.3489, to
clean_check_or_call,fdc16c0b,1,356,-5,351,-0.0084,JSON
clean_check_or_call,fdc16c0b,1,356,-2,354,0.7631,action
clean_check_or_call,fdc16c0b,1,356,-1,355,0.5938,""":"
clean_check_or_call,fdc16c0b,1,356,0,356,1.8700," """
clean_check_or_call,fdc16c0b,1,356,1,357,1.2944,CHECK
clean_check_or_call,fdc16c0b,1,356,2,358,1.2527,_OR
clean_check_or_call,fdc16c0b,2,362,-300,62,0.0083, JSON
clean_check_or_call,fdc16c0b,2,362,-200,162,0.0411, Board
clean_check_or_call,fdc16c0b,2,362,-100,262,-0.1041, 
clean_check_or_call,fdc16c0b,2,362,-50,312,0.2798, bet
clean_check_or_call,fdc16c0b,2,362,-20,342,0.3502,","
clean_check_or_call,fdc16c0b,2,362,-10,352,-0.1644, be
clean_check_or_call,fdc16c0b,2,362,-5,357,-0.0717,JSON
clean_check_or_call,fdc16c0b,2,362,-2,360,0.3591,action
clean_check_or_call,fdc16c0b,2,362,-1,361,0.7287,""":"
clean_check_or_call,fdc16c0b,2,362,0,362,1.2184," """
clean_check_or_call,fdc16c0b,2,362,1,363,0.9327,CHECK
clean_check_or_call,fdc16c0b,2,362,2,364,0.8417,_OR
clean_check_or_call,78d8c173,1,348,-300,48,0.0557,ING
clean_check_or_call,78d8c173,1,348,-200,148,-0.0098, situation
clean_check_or_call,78d8c173,1,348,-100,248,0.6545, opponent
clean_check_or_call,78d8c173,1,348,-50,298,-0.3289,.
clean_check_or_call,78d8c173,1,348,-20,328,0.2165,","
clean_check_or_call,78d8c173,1,348,-10,338,-0.0049, and
clean_check_or_call,78d8c173,1,348,-5,343,-0.0907,JSON
clean_check_or_call,78d8c173,1,348,-2,346,0.8587,action
clean_check_or_call,78d8c173,1,348,-1,347,1.0130,""":"
clean_check_or_call,78d8c173,1,348,0,348,1.7976," """
clean_check_or_call,78d8c173,1,348,1,349,1.4068,CHECK
clean_check_or_call,78d8c173,1,348,2,350,1.0649,_OR
clean_check_or_call,78d8c173,2,381,-300,81,-1.0319,OLD
clean_check_or_call,78d8c173,2,381,-200,181,0.3317, F
clean_check_or_call,78d8c173,2,381,-100,281,0.0820, they
clean_check_or_call,78d8c173,2,381,-50,331,-0.0641, I
clean_check_or_call,78d8c173,2,381,-20,361,0.2925, as
clean_check_or_call,78d8c173,2,381,-10,371,-0.1406, commit
clean_check_or_call,78d8c173,2,381,-5,376,-0.0769,JSON
clean_check_or_call,78d8c173,2,381,-2,379,0.4624,action
clean_check_or_call,78d8c173,2,381,-1,380,0.8359,""":"
clean_check_or_call,78d8c173,2,381,0,381,1.3082," """
